Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M-183PM2000012--------------,9825,0,11 Sep 2020,10775,9400,10450,625,4109600,42468970000,3246
ABBA,--U-210000000095---E----------,50,0,11 Sep 2020,50,50,50,0,10700,535000,8
ABDA,--U-210500000084--------------,6925,0,11 Sep 2020,6850,6850,6850,-75,200,1370000,2
ABMM,--U-110500000098--------------,845,0,11 Sep 2020,895,805,845,0,1400,1156500,10
ACES,XDMO1XKEMA000093--------------,1470,1375,11 Sep 2020,1560,1370,1555,85,22527800,33630790500,6416
ACST,XRU-113000000062--------------,232,0,11 Sep 2020,226,216,216,-16,191929400,41522787000,7557
ADES,--U-213000000051--------------,1060,0,11 Sep 2020,1150,990,1115,55,196700,213595500,188
ADHI,--M-18AF80000062--------------,545,0,11 Sep 2020,575,510,555,10,12751100,6860522500,1700
ADMF,--U-110F00000082--------------,7050,0,11 Sep 2020,7500,6625,7500,450,172000,1249692500,410
ADMG,--U-113000000034--------------,120,0,11 Sep 2020,121,112,118,-2,5611500,646783900,370
ADRO,--MO1XDCU1000021--------------,1120,1080,11 Sep 2020,1185,1080,1180,60,86766800,99700846500,10644
AGAR,--U-213000000091--------------,505,0,11 Sep 2020,0,0,505,0,0,0,0
AGII,--M-113500000034--------------,434,0,11 Sep 2020,466,418,466,32,395100,174139000,106
AGRO,--M-110500000081--------------,310,0,11 Sep 2020,320,290,318,8,132915100,40429945600,7331
AGRS,--U-210500000081--------------,180,0,11 Sep 2020,194,170,183,3,197800,34827400,25
AHAP,--U-210000000084--------------,50,0,11 Sep 2020,50,50,50,0,19100,955000,7
AIMS,--U-210000000091--------------,126,0,11 Sep 2020,170,120,150,24,25100,3221100,20
AISA,--U-110000000051---E----------,196,0,11 Sep 2020,224,183,216,20,151932500,30771692100,8103
AKKU,--U-210000000094--------------,50,0,11 Sep 2020,0,0,50,0,0,0,0
AKPI,--U-213000000035--------------,284,0,11 Sep 2020,300,300,300,16,17000,5100000,2
AKRA,--MO1S3XM0000091--------------,2640,2470,11 Sep 2020,2790,2470,2750,110,16700000,44424515000,2361
AKSI,--U-213000000074--------------,242,0,11 Sep 2020,242,226,228,-14,72400,16896200,23
ALDO,XDU-213000000038--------------,372,0,11 Sep 2020,0,0,372,0,0,0,0
ALKA,--U-213000000033--------------,256,0,11 Sep 2020,242,242,242,-14,200,48400,1
ALMI,--U-210000000033---E----------,186,0,11 Sep 2020,216,182,216,30,600,116900,5
ALTO,--U-110000000051--------------,328,0,11 Sep 2020,324,306,320,-8,1600,498400,4
AMAG,--U-210500000084--------------,198,0,11 Sep 2020,198,186,196,-2,184900,35572900,31
AMAN,--U-113000000061--------------,258,0,11 Sep 2020,262,258,258,0,238500,61721200,24
AMAR,XDU-210500000081--------------,324,0,11 Sep 2020,344,304,342,18,250400,78571600,52
AMFG,--U-110500000032--------------,2330,0,11 Sep 2020,2450,2310,2450,120,6500,15261000,7
AMIN,--U-213000000041--------------,274,0,11 Sep 2020,274,264,264,-10,27300,7457400,16
AMOR,--U-210500000083--------------,2000,0,11 Sep 2020,2040,1995,2040,40,6600,13242500,15
AMRT,--M-110500000093--------------,690,0,11 Sep 2020,700,660,695,5,306900,208293500,143
ANDI,--U-213000000012--------------,50,0,11 Sep 2020,50,50,50,0,3300,165000,8
ANJT,--U-113500000012--------------,500,0,11 Sep 2020,515,500,515,15,600,307500,3
ANTM,--MO1SDQV0000023--------------,740,710,11 Sep 2020,780,700,775,35,114696400,86698421000,9824
APEX,--U-210000000022--------------,126,0,11 Sep 2020,134,121,134,8,53300,6811300,31
APIC,--U-210500000089--------------,815,0,11 Sep 2020,845,805,845,30,34971200,28558370500,2118
APII,--U-213000000091--------------,164,0,11 Sep 2020,162,153,162,-2,17300,2672100,17
APLI,--U-113000000035--------------,109,0,11 Sep 2020,105,105,105,-4,5200,546000,2
APLN,--M-1835F0000061--------------,106,0,11 Sep 2020,108,99,106,0,39786600,4098839800,2819
ARGO,--U-210000000043---E----------,2000,0,11 Sep 2020,2490,1860,1860,-140,3300,6340500,10
ARII,--U-213500000021--M-----------,438,0,11 Sep 2020,440,430,438,0,31900,13955600,10
ARKA,--U-210000000041--------------,120,0,11 Sep 2020,114,112,112,-8,3358700,376553700,147
ARMY,--U-210000000061--M--L--------,50,0,11 Sep 2020,0,0,50,0,0,0,0
ARNA,--M-113500000032--------------,438,0,11 Sep 2020,438,432,438,0,1025100,448331200,94
ARTA,--U-213000000094--------------,328,0,11 Sep 2020,324,306,306,-22,12800,4096800,9
ARTI,--U-110000000022--------------,50,0,11 Sep 2020,0,0,50,0,0,0,0
ARTO,--U-210500000081--------------,2700,0,11 Sep 2020,2720,2680,2680,-20,152100,408872000,62
ASBI,--U-210000000084--------------,372,0,11 Sep 2020,372,372,372,0,100,37200,1
ASDM,--U-110000000084--------------,920,0,11 Sep 2020,920,920,920,0,200,184000,2
ASGR,--U-113000000097--------------,685,0,11 Sep 2020,740,670,695,10,207300,144129500,93
ASII,--MO1XNAQ1000042--------------,4560,4350,11 Sep 2020,4700,4310,4630,70,76725700,353268151000,17047
ASJT,--U-210000000084--------------,119,0,11 Sep 2020,120,112,118,-1,99100,11771100,12
ASMI,--U-110500000084--------------,1035,0,11 Sep 2020,1040,1010,1040,5,8700,8941500,20
ASPI,--U-213000000061--------------,133,0,11 Sep 2020,136,131,134,1,2066900,276969000,579
ASRI,--M-113510000061--------------,112,0,11 Sep 2020,114,105,113,1,95790700,10483183100,2586
ASRM,--U-210000000084--------------,1730,0,11 Sep 2020,1730,1620,1730,0,400,667000,4
ASSA,--M-180500000074--------------,490,0,11 Sep 2020,520,456,515,25,10266600,5069699400,891
ATIC,--U-110500000097-----L--------,660,0,11 Sep 2020,640,640,640,-20,100,64000,1
AUTO,--M-113500000042--------------,815,0,11 Sep 2020,865,785,855,40,1536300,1289717500,441
AYLS,--U-213000000091-----L--------,50,0,11 Sep 2020,50,50,50,0,1800,90000,2
BABP,--U-210500000081--------------,50,0,11 Sep 2020,50,50,50,0,10700,535000,3
BACA,--U-210500000081--------------,398,0,11 Sep 2020,398,398,398,0,13200,5253600,16
BAJA,--U-210000000033--------------,56,0,11 Sep 2020,56,53,56,0,2991700,161256800,259
BALI,--U-213500000075--------------,875,0,11 Sep 2020,0,0,875,0,0,0,0
BAPA,--U-113000000061--------------,50,0,11 Sep 2020,0,0,50,0,0,0,0
BAPI,--U-213000000061--------------,50,0,11 Sep 2020,50,50,50,0,1000,50000,3
BATA,--U-113000000044--------------,610,0,11 Sep 2020,610,570,610,0,1600,960000,8
BAYU,XDU-213000000094--------------,1180,0,11 Sep 2020,0,0,1180,0,0,0,0
BBCA,--MO1UQNCA000081--------------,29050,29000,11 Sep 2020,29875,28100,29525,475,80606500,2316420867500,50751
BBHI,--U-210000000081--------------,137,0,11 Sep 2020,138,128,138,1,52700,7050100,31
BBKP,--M-180500000081--------------,244,0,11 Sep 2020,262,228,250,6,448895100,109500260200,11824
BBLD,--U-210000000082--------------,374,0,11 Sep 2020,0,0,374,0,0,0,0
BBMD,--U-110500000081--------------,1470,0,11 Sep 2020,0,0,1470,0,0,0,0
BBNI,--MO1UQSP7000081--------------,4680,4450,11 Sep 2020,4880,4420,4870,190,121461600,572927896000,32587
BBRI,--MO1UQSPA000081--------------,3180,3020,11 Sep 2020,3310,3010,3250,70,583497600,1850087252000,66066
BBRM,--U-110000000074--------------,50,0,11 Sep 2020,0,0,50,0,0,0,0
BBSI,--U-210000000081--------------,780,0,11 Sep 2020,730,730,730,-50,458600,334778000,113
BBSS,--U-213000000061--------------,126,0,11 Sep 2020,132,124,129,3,39638400,5083424000,2417
BBTN,--MO1HBRL0000081--------------,1315,1230,11 Sep 2020,1370,1225,1330,15,160484400,209236506000,12468
BBYB,--U-110500000081--------------,270,0,11 Sep 2020,0,0,270,0,0,0,0
BCAP,--M-110500000089--------------,126,0,11 Sep 2020,126,121,125,-1,1194800,148290600,158
BCIC,--U-210500000081--------------,700,0,11 Sep 2020,0,0,700,0,0,0,0
BCIP,--U-213000000061--------------,50,0,11 Sep 2020,50,50,50,0,8300,415000,6
BDMN,--U-185591000081--------------,2210,0,11 Sep 2020,2340,2100,2210,0,12404300,27476100000,2538
BEEF,--M-213000000013-----L--------,176,0,11 Sep 2020,183,164,182,6,7443900,1281183200,788
BEKS,--U-210500000081--------------,50,0,11 Sep 2020,50,50,50,0,8600,430000,6
BELL,--U-213500000043--------------,150,0,11 Sep 2020,151,147,151,1,176700,26530300,36
BESS,--U-210000000074--------------,256,0,11 Sep 2020,266,240,262,6,191900,49799600,45
