Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
AALI,--M-1M3EM00000D232------------,7375,0,15 Jul 2021,7575,7400,7525,150,1091300,8176827500,822
ABBA,--U-2100000000E614-E-L--------,262,0,15 Jul 2021,272,262,268,6,43593900,11604997400,2443
ABDA,XDU-2105000000G412------------,6950,0,15 Jul 2021,0,0,6950,0,0,0,0
ABMM,--U-1105000000C311---L--------,1005,0,15 Jul 2021,1255,1070,1255,250,4124400,4778896000,1603
ACES,XDMO1H7PMN0000E743M-----------,1470,1465,15 Jul 2021,1505,1445,1465,-5,12954500,19038343000,3507
ACST,--U-1105000000J211------------,260,0,15 Jul 2021,314,260,260,0,495507300,143932020600,39179
ADES,--U-2130000000D212------------,2420,0,15 Jul 2021,2640,2400,2600,180,273400,697736000,283
ADHI,--M-1135400000J211------------,670,0,15 Jul 2021,685,660,660,-10,19696000,13203939000,2814
ADMF,XDU-110F000000G211------------,7650,0,15 Jul 2021,7650,7550,7550,-100,128000,970850000,306
ADMG,--U-1130000000B111------------,210,0,15 Jul 2021,218,206,214,4,4407200,935404800,546
ADRO,--MO1XD5U60000A121------------,1220,1215,15 Jul 2021,1240,1215,1225,5,45141600,55427610500,5074
AGAR,--U-2130000000D231------------,428,0,15 Jul 2021,428,428,428,0,1400,599200,6
AGII,--U-1135000000B111------------,1530,0,15 Jul 2021,1585,1520,1525,-5,38936500,60422443500,9191
AGRO,--U-1105000000G111------------,2010,0,15 Jul 2021,2100,1980,2040,30,87178900,178287985500,15401
AGRS,--U-2105000000G111------------,228,0,15 Jul 2021,244,220,234,6,116386800,27071615000,8097
AHAP,--U-2100000000G412------------,60,0,15 Jul 2021,61,59,61,1,315700,18782400,96
AIMS,--U-2130000000A121------------,510,0,15 Jul 2021,476,476,476,-34,11500,5474000,33
AISA,--U-1105000000D222------------,208,0,15 Jul 2021,220,208,214,6,13957700,2995524200,1110
AKKU,--U-2130000000E512---L--------,50,0,15 Jul 2021,50,50,50,0,2400,120000,4
AKPI,--U-2130000000B113------------,615,0,15 Jul 2021,655,605,615,0,55500,34158000,65
AKRA,--MO1S7XM80000A112------------,3040,3040,15 Jul 2021,3060,3030,3040,0,2283500,6944683000,713
AKSI,--U-2130000000K211------------,474,0,15 Jul 2021,520,442,456,-18,15700,7489900,55
ALDO,XDU-2130000000B131------------,625,0,15 Jul 2021,640,620,625,0,1455600,918813500,264
ALKA,--U-2130000000B141------------,234,0,15 Jul 2021,246,230,244,10,28700,6719800,29
ALMI,--U-2100000000B141-E----------,248,0,15 Jul 2021,234,232,232,-16,14000,3248200,13
ALTO,--U-1100000000D212------------,344,0,15 Jul 2021,344,344,344,0,20600,7086400,4
AMAG,XDU-2105000000G412------------,278,0,15 Jul 2021,282,270,272,-6,988400,270191200,306
AMAN,--U-1135000000H111------------,374,0,15 Jul 2021,374,374,374,0,209600,78390400,22
AMAR,--U-2105000000G111------------,314,0,15 Jul 2021,294,294,294,-20,920300,270568200,218
AMFG,--U-1105000000C121------------,3520,0,15 Jul 2021,3530,3530,3530,10,30200,106606000,4
AMIN,--U-2130000000C143------------,206,0,15 Jul 2021,208,200,206,0,65700,13425600,41
AMOR,--M-2105000000G311------------,3430,0,15 Jul 2021,3430,3390,3430,0,1148100,3922070000,964
AMRT,--M-1905000000D113------------,1295,0,15 Jul 2021,1340,1295,1305,10,22581500,29778740000,3844
ANDI,--U-2130000000D232------------,50,0,15 Jul 2021,50,50,50,0,10200,510000,11
ANJT,XDU-1135000000D232------------,610,0,15 Jul 2021,625,610,625,15,8700,5379000,11
ANTM,--MO1XDAR50000B146------------,2590,2580,15 Jul 2021,2630,2560,2610,20,107128500,279109447000,13980
APEX,--U-2105000000A131------------,630,0,15 Jul 2021,630,600,630,0,29500,18267000,47
APIC,--M-2815000000G511------------,825,0,15 Jul 2021,850,820,835,10,29545900,24466642500,2382
APII,--U-2130000000C143------------,180,0,15 Jul 2021,182,181,181,1,57600,10429200,17
APLI,--U-1130000000B113------------,202,0,15 Jul 2021,212,202,202,0,17600,3587200,9
APLN,--M-1805000000H111------------,122,0,15 Jul 2021,128,122,125,3,11272900,1414266500,735
ARCI,--U-1100000000B143------------,635,0,15 Jul 2021,685,620,650,15,32712300,21310503000,3040
ARGO,--U-2100000000E413-E----------,1500,0,15 Jul 2021,1775,1450,1580,80,19300,33317000,28
ARII,--U-2130000000A121------------,298,0,15 Jul 2021,308,282,300,2,912200,270377200,441
ARKA,--U-2100000000C143------------,50,0,15 Jul 2021,50,50,50,0,4403100,220155000,1752
ARMY,--U-2100000000H111---L---Y----,50,0,15 Jul 2021,0,0,50,0,0,0,0
ARNA,--M-1135000000C121------------,750,0,15 Jul 2021,750,740,750,0,3085400,2287836500,162
ARTA,--U-2100000000E512------------,545,0,15 Jul 2021,510,510,510,-35,68500,34935000,53
ARTI,--U-1100000000A132-E----------,50,0,15 Jul 2021,50,50,50,0,80000,4000000,12
ARTO,--U-2100000000G111------------,14550,0,15 Jul 2021,15300,14375,15100,550,25168100,376704567500,18340
ASBI,--U-2100000000G412------------,296,0,15 Jul 2021,298,292,298,2,31300,9278800,66
ASDM,--U-1100000000G412------------,935,0,15 Jul 2021,935,930,930,-5,4300,4005000,10
ASGR,--U-1135000000C224------------,695,0,15 Jul 2021,700,685,685,-10,367700,253066000,108
ASII,--MO1UBACK0000C311------------,4730,4730,15 Jul 2021,4840,4640,4810,80,50750700,241718114000,9413
ASJT,--U-2100000000G412------------,226,0,15 Jul 2021,226,220,226,0,1100,248000,7
ASMI,--U-1105000000G412------------,444,0,15 Jul 2021,444,414,444,0,30000,13083400,37
ASPI,--U-2100000000H111------------,50,0,15 Jul 2021,50,50,50,0,3000,150000,9
ASRI,--M-1135000000H111------------,158,0,15 Jul 2021,160,157,157,-1,6130100,968131400,787
ASRM,CDU-2100000000G412------------,1640,0,15 Jul 2021,1670,1600,1635,-5,9000,14763000,45
ASSA,XRM-1815000000K132------------,2350,0,15 Jul 2021,2380,2270,2300,-50,9138500,20989087000,2698
ATAP,--U-2130000000H111------------,106,0,15 Jul 2021,106,105,106,0,95100,10026300,20
ATIC,--U-1105000000I121------------,1345,0,15 Jul 2021,1300,1255,1255,-90,272500,342642500,190
AUTO,--M-11A5000000E111------------,1065,0,15 Jul 2021,1075,1060,1070,5,672200,715738500,254
AYLS,--U-2130000000B121------------,67,0,15 Jul 2021,72,67,70,3,3619300,250771000,505
BABP,--U-2105000000G111------------,274,0,15 Jul 2021,290,274,278,4,184348700,51792545800,10907
BACA,--U-2155000000G111------------,414,0,15 Jul 2021,436,404,432,18,77731900,32923049600,7887
BAJA,--U-2100000000B144------------,270,0,15 Jul 2021,318,270,300,30,20309300,6097774400,5698
BALI,--U-1135000000J321------------,585,0,15 Jul 2021,610,580,580,-5,295800,172878500,111
